assists,blocked,evenTimeOnIce,evenTimeOnIcePerGame,faceOffPct,gameWinningGoals,games,goals,hits,overTimeGoals,penaltyMinutes,pim,plusMinus,points,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,powerPlayTimeOnIcePerGame,shifts,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,shortHandedTimeOnIcePerGame,shotPct,shots,timeOnIce,timeOnIcePerGame,age,season,id
8,19,646:27,11:20,41.02,0,57,5,50,0,18,18,-7,13,1,2,50:26,00:53,868,0,0,02:15,00:02,6.5,77,699:08,12:15,33.0,20182019,8471226
7,15,703:55,11:55,50.61,1,59,8,77,0,10,10,-20,15,4,5,112:22,01:54,1003,0,0,01:25,00:01,7.8,102,817:42,13:51,32.0,20172018,8471226
13,3,700:30,12:04,31.81,3,58,8,62,0,24,24,6,21,3,4,76:39,01:19,1063,0,0,11:42,00:12,7.3,109,788:51,13:36,31.0,20162017,8471226
17,15,1145:10,14:40,50.49,6,78,21,59,0,28,28,-23,38,6,9,168:00,02:09,1811,1,3,80:56,01:02,11.2,187,1394:06,17:52,30.0,20152016,8471226
25,15,1044:20,13:44,49.42,1,76,18,81,0,47,47,-12,43,4,9,178:54,02:21,1586,0,1,30:40,00:24,12.2,147,1253:54,16:29,29.0,20142015,8471226
18,25,1036:43,14:48,53.8,1,70,16,78,0,39,39,-19,34,2,7,162:42,02:19,1586,1,1,105:29,01:30,8.6,185,1304:54,18:38,28.0,20132014,8471226
12,9,616:07,13:23,44.04,0,46,6,46,0,21,21,-16,18,0,3,100:09,02:10,970,0,0,66:36,01:26,5.0,121,782:52,17:01,27.0,20122013,8471226
30,22,1151:40,14:23,52.32,4,80,20,102,0,46,46,5,50,3,7,180:27,02:15,1730,1,1,79:43,00:59,8.8,226,1411:50,17:38,26.0,20112012,8471226
21,5,820:42,13:14,30.35,4,62,31,53,2,34,34,13,52,11,19,183:16,02:57,1271,0,0,21:23,00:20,17.3,179,1025:21,16:32,25.0,20102011,8471226
20,15,846:52,11:55,47.67,1,71,14,59,0,35,35,4,34,5,11,179:48,02:31,1332,0,0,00:48,00:00,7.7,181,1027:28,14:28,24.0,20092010,8471226
27,38,1112:40,13:54,58.16,3,80,19,66,1,20,20,-25,46,5,12,211:31,02:38,1818,2,2,217:29,02:43,15.8,120,1541:40,19:16,34.0,20182019,8471233
14,38,864:59,13:43,50.91,0,63,12,64,0,25,25,-8,26,2,6,116:18,01:50,1445,1,2,146:55,02:19,13.2,91,1128:12,17:54,33.0,20172018,8471233
31,26,1186:50,14:50,54.66,1,80,14,81,0,33,33,-8,45,6,12,205:33,02:34,1971,1,2,185:39,02:19,11.1,126,1578:02,19:43,32.0,20162017,8471233
28,41,1084:01,14:38,51.55,2,74,14,65,0,25,25,3,42,6,17,184:32,02:29,1883,2,3,200:31,02:42,12.6,111,1469:04,19:51,31.0,20152016,8471233
14,35,1128:49,15:15,53.41,0,74,11,70,0,29,29,-3,25,4,7,147:03,01:59,1848,2,2,135:00,01:49,9.8,112,1410:52,19:03,30.0,20142015,8471233
30,25,1265:06,15:48,54.59,3,80,18,53,1,28,28,3,48,3,15,200:40,02:30,2057,0,0,159:06,01:59,10.9,165,1624:52,20:18,29.0,20132014,8471233
13,10,705:41,14:42,57.43,1,48,7,33,0,22,22,-5,20,1,4,147:20,03:04,1245,1,1,84:34,01:45,8.5,82,937:35,19:31,28.0,20122013,8471233
4,3,223:18,14:53,57.84,1,15,2,11,0,4,4,-3,6,1,1,17:36,01:10,343,0,0,19:43,01:18,8.0,25,260:37,17:22,27.0,20112012,8471233
31,31,1239:40,15:07,55.32,1,82,13,55,1,24,24,-6,44,2,10,211:00,02:34,2125,1,2,171:32,02:05,7.5,173,1622:12,19:46,26.0,20102011,8471233
42,29,1274:20,15:32,52.87,4,82,25,64,1,24,24,22,67,6,21,235:38,02:52,2212,0,1,147:43,01:48,11.9,210,1657:41,20:12,25.0,20092010,8471233
20,208,1363:18,16:37,0.0,0,82,5,67,0,16,16,-9,25,0,2,09:09,00:06,2027,0,4,335:55,04:05,4.8,104,1708:22,20:50,36.0,20182019,8472382
10,188,1442:16,17:48,0.0,0,81,3,84,0,21,21,-9,13,0,0,06:17,00:04,2292,0,0,262:29,03:14,3.2,93,1711:02,21:07,35.0,20172018,8472382
9,125,1154:55,17:29,0.0,1,66,4,50,1,8,8,-16,13,1,4,81:32,01:14,1875,1,1,211:51,03:12,4.8,83,1448:18,21:56,34.0,20162017,8472382
9,154,1567:24,19:06,0.0,0,82,4,73,0,26,26,7,13,1,2,29:18,00:21,2327,0,0,285:23,03:28,6.3,63,1882:05,22:57,33.0,20152016,8472382
